date,transactions_bitcoin
2015-08-07,111345
2015-08-08,101512
2015-08-09,90534
2015-08-10,116841
2015-08-11,114741
2015-08-12,117898
2015-08-13,117507
2015-08-14,111255
2015-08-15,94944
2015-08-16,89498
2015-08-17,115049
2015-08-18,119798
2015-08-19,120151
2015-08-20,118230
2015-08-21,113792
2015-08-22,105665
2015-08-23,94529
2015-08-24,125368
2015-08-25,121973
2015-08-26,122852
2015-08-27,120079
2015-08-28,120385
2015-08-29,107489
2015-08-30,98339
2015-08-31,127260
2015-09-01,130410
2015-09-02,150066
2015-09-03,128682
2015-09-04,103973
2015-09-05,124218
2015-09-06,106293
2015-09-07,125467
2015-09-08,125379
2015-09-09,126457
2015-09-10,124951
2015-09-11,180002
2015-09-12,137740
2015-09-13,146048
2015-09-14,166715
2015-09-15,162999
2015-09-16,167269
2015-09-17,259279
2015-09-18,161504
2015-09-19,114851
2015-09-20,109158
2015-09-21,131679
2015-09-22,136784
2015-09-23,131400
2015-09-24,125367
2015-09-25,128166
2015-09-26,115622
2015-09-27,108749
2015-09-28,138570
2015-09-29,140664
2015-09-30,139848
2015-10-01,134327
2015-10-02,139746
2015-10-03,119567
2015-10-04,103531
2015-10-05,125548
2015-10-06,144510
2015-10-07,134931
2015-10-08,140348
2015-10-09,114644
2015-10-10,127005
2015-10-11,104550
2015-10-12,134410
2015-10-13,134878
2015-10-14,141985
2015-10-15,153495
2015-10-16,143286
2015-10-17,135911
2015-10-18,119706
2015-10-19,143969
2015-10-20,146349
2015-10-21,150199
2015-10-22,147402
2015-10-23,143468
2015-10-24,140128
2015-10-25,131488
2015-10-26,116400
2015-10-27,153740
2015-10-28,160175
2015-10-29,161062
2015-10-30,166695
2015-10-31,155400
2015-11-01,152488
2015-11-02,172108
2015-11-03,186362
2015-11-04,204198
2015-11-05,182809
2015-11-06,166893
2015-11-07,151497
2015-11-08,132550
2015-11-09,159836
2015-11-10,161962
2015-11-11,158929
2015-11-12,157847
2015-11-13,154827
2015-11-14,150474
2015-11-15,143369
2015-11-16,158316
2015-11-17,156688
2015-11-18,165269
2015-11-19,154483
2015-11-20,155774
2015-11-21,151035
2015-11-22,129659
2015-11-23,145272
2015-11-24,152324
2015-11-25,151861
2015-11-26,164671
2015-11-27,160235
2015-11-28,165676
2015-11-29,129850
2015-11-30,182648
2015-12-01,178112
2015-12-02,183523
2015-12-03,164774
2015-12-04,173586
2015-12-05,186194
2015-12-06,179712
2015-12-07,192830
2015-12-08,195221
2015-12-09,220323
2015-12-10,212036
2015-12-11,210259
2015-12-12,204141
2015-12-13,189914
2015-12-14,231477
2015-12-15,223998
2015-12-16,220420
2015-12-17,216297
2015-12-18,213847
2015-12-19,213876
2015-12-20,193847
2015-12-21,229444
2015-12-22,222717
2015-12-23,221075
2015-12-24,210228
2015-12-25,180383
2015-12-26,179363
2015-12-27,160271
2015-12-28,173129
2015-12-29,184618
2015-12-30,176447
2015-12-31,155362
2016-01-01,124092
2016-01-02,149038
2016-01-03,142608
2016-01-04,181354
2016-01-05,182371
2016-01-06,172090
2016-01-07,190234
2016-01-08,181407
2016-01-09,179968
2016-01-10,161317
2016-01-11,191196
2016-01-12,194874
2016-01-13,188131
2016-01-14,183182
2016-01-15,183642
2016-01-16,191300
2016-01-17,204128
2016-01-18,213905
2016-01-19,186858
2016-01-20,209071
2016-01-21,222743
2016-01-22,213683
2016-01-23,190400
2016-01-24,201425
2016-01-25,222150
2016-01-26,230523
2016-01-27,229677
2016-01-28,225025
2016-01-29,224394
2016-01-30,194794
2016-01-31,176045
2016-02-01,222398
2016-02-02,241722
2016-02-03,191224
2016-02-04,200661
2016-02-05,225488
2016-02-06,224156
2016-02-07,212190
2016-02-08,224755
2016-02-09,231240
2016-02-10,235527
2016-02-11,220934
2016-02-12,202527
2016-02-13,184675
2016-02-14,186088
2016-02-15,220349
2016-02-16,215940
2016-02-17,227235
2016-02-18,212979
2016-02-19,217436
2016-02-20,215728
2016-02-21,206617
2016-02-22,237696
2016-02-23,244748
2016-02-24,224927
2016-02-25,216290
2016-02-26,203635
2016-02-27,182177
2016-02-28,233436
2016-02-29,265320
2016-03-01,277094
2016-03-02,270206
2016-03-03,221652
2016-03-04,207485
2016-03-05,234992
2016-03-06,161739
2016-03-07,183255
2016-03-08,200298
2016-03-09,190388
2016-03-10,188726
2016-03-11,189816
2016-03-12,168013
2016-03-13,149803
2016-03-14,191341
2016-03-15,202426
2016-03-16,211992
2016-03-17,208319
2016-03-18,206022
2016-03-19,177478
2016-03-20,178143
2016-03-21,199006
2016-03-22,205208
2016-03-23,186808
2016-03-24,190094
2016-03-25,172309
2016-03-26,159049
2016-03-27,160266
2016-03-28,196080
2016-03-29,197409
2016-03-30,201028
2016-03-31,206476
2016-04-01,211922
2016-04-02,183503
2016-04-03,178429
2016-04-04,208929
2016-04-05,216176
2016-04-06,219290
2016-04-07,218463
2016-04-08,214191
2016-04-09,196441
2016-04-10,186954
2016-04-11,230040
2016-04-12,240206
2016-04-13,223506
2016-04-14,227928
2016-04-15,212178
2016-04-16,182004
2016-04-17,192428
2016-04-18,220395
2016-04-19,226511
2016-04-20,216780
2016-04-21,212795
2016-04-22,210976
2016-04-23,185216
2016-04-24,183155
2016-04-25,217564
2016-04-26,250744
2016-04-27,239435
2016-04-28,247957
2016-04-29,261884
2016-04-30,215712
2016-05-01,191430
2016-05-02,223785
2016-05-03,235609
2016-05-04,233691
2016-05-05,229573
2016-05-06,233232
2016-05-07,202062
2016-05-08,189025
2016-05-09,226449
2016-05-10,245721
2016-05-11,234412
2016-05-12,228409
2016-05-13,232146
2016-05-14,211280
2016-05-15,200171
2016-05-16,239809
2016-05-17,238626
2016-05-18,235083
2016-05-19,219145
2016-05-20,209396
2016-05-21,191461
2016-05-22,184348
2016-05-23,222754
2016-05-24,246517
2016-05-25,247841
2016-05-26,220091
2016-05-27,215296
2016-05-28,193054
2016-05-29,178742
2016-05-30,211368
2016-05-31,215249
2016-06-01,234384
2016-06-02,231099
2016-06-03,234669
2016-06-04,196665
2016-06-05,189802
2016-06-06,221171
2016-06-07,231016
2016-06-08,229933
2016-06-09,236353
2016-06-10,228367
2016-06-11,213159
2016-06-12,210711
2016-06-13,251354
2016-06-14,246829
2016-06-15,259202
2016-06-16,267870
2016-06-17,253752
2016-06-18,235317
2016-06-19,218298
2016-06-20,249334
2016-06-21,248164
2016-06-22,235641
2016-06-23,241300
2016-06-24,237625
2016-06-25,206919
2016-06-26,181348
2016-06-27,217029
2016-06-28,212607
2016-06-29,224112
2016-06-30,231960
2016-07-01,205801
2016-07-02,198875
2016-07-03,177127
2016-07-04,213900
2016-07-05,214959
2016-07-06,214691
2016-07-07,215548
2016-07-08,210701
2016-07-09,185405
2016-07-10,162608
2016-07-11,218089
2016-07-12,219034
2016-07-13,216503
2016-07-14,217695
2016-07-15,216081
2016-07-16,182192
2016-07-17,171013
2016-07-18,222835
2016-07-19,222146
2016-07-20,227429
2016-07-21,217606
2016-07-22,221404
2016-07-23,195796
2016-07-24,183890
2016-07-25,239715
2016-07-26,237673
2016-07-27,235603
2016-07-28,234863
2016-07-29,231414
2016-07-30,199484
2016-07-31,192254
2016-08-01,225049
2016-08-02,251098
2016-08-03,241782
2016-08-04,231835
2016-08-05,228244
2016-08-06,195669
2016-08-07,192414
2016-08-08,235295
2016-08-09,231400
2016-08-10,244740
2016-08-11,254515
2016-08-12,232973
2016-08-13,214569
2016-08-14,200174
2016-08-15,202896
2016-08-16,254431
2016-08-17,238003
2016-08-18,239541
2016-08-19,246095
2016-08-20,208224
2016-08-21,184904
2016-08-22,228373
2016-08-23,239021
2016-08-24,235130
2016-08-25,234009
2016-08-26,226767
2016-08-27,191098
2016-08-28,174489
2016-08-29,225282
2016-08-30,252002
2016-08-31,225360
2016-09-01,237466
2016-09-02,225856
2016-09-03,182204
2016-09-04,183244
2016-09-05,227683
2016-09-06,232118
2016-09-07,250809
2016-09-08,227006
2016-09-09,220534
2016-09-10,193320
2016-09-11,180391
2016-09-12,208649
2016-09-13,239886
2016-09-14,231800
2016-09-15,233488
2016-09-16,211128
2016-09-17,215529
2016-09-18,191603
2016-09-19,223540
2016-09-20,244315
2016-09-21,239216
2016-09-22,231227
2016-09-23,223187
2016-09-24,208650
2016-09-25,195642
2016-09-26,230769
2016-09-27,240335
2016-09-28,234995
2016-09-29,242730
2016-09-30,250943
2016-10-01,213930
2016-10-02,192683
2016-10-03,258805
2016-10-04,264662
2016-10-05,266811
2016-10-06,274486
2016-10-07,266324
2016-10-08,250672
2016-10-09,210548
2016-10-10,222996
2016-10-11,263565
2016-10-12,233440
2016-10-13,229703
2016-10-14,239724
2016-10-15,210448
2016-10-16,197876
2016-10-17,237232
2016-10-18,251521
2016-10-19,199083
2016-10-20,270380
2016-10-21,265355
2016-10-22,216708
2016-10-23,191578
2016-10-24,226980
2016-10-25,237030
2016-10-26,223316
2016-10-27,326388
2016-10-28,250876
2016-10-29,229689
2016-10-30,207982
2016-10-31,241778
2016-11-01,246650
2016-11-02,268418
2016-11-03,271998
2016-11-04,248043
2016-11-05,238215
2016-11-06,225786
2016-11-07,274281
2016-11-08,296060
2016-11-09,270095
2016-11-10,271374
2016-11-11,254619
2016-11-12,228886
2016-11-13,219657
2016-11-14,270506
2016-11-15,280352
2016-11-16,289789
2016-11-17,277460
2016-11-18,275925
2016-11-19,249760
2016-11-20,243591
2016-11-21,285793
2016-11-22,285635
2016-11-23,276924
2016-11-24,328538
2016-11-25,315387
2016-11-26,277608
2016-11-27,237389
2016-11-28,298530
2016-11-29,289650
2016-11-30,292654
2016-12-01,239682
2016-12-02,315478
2016-12-03,287988
2016-12-04,245650
2016-12-05,278001
2016-12-06,319762
2016-12-07,310754
2016-12-08,282711
2016-12-09,268815
2016-12-10,250241
2016-12-11,229933
2016-12-12,268662
2016-12-13,291757
2016-12-14,286328
2016-12-15,282685
2016-12-16,279361
2016-12-17,238130
2016-12-18,235789
2016-12-19,282129
2016-12-20,296473
2016-12-21,325677
2016-12-22,314644
2016-12-23,304997
2016-12-24,240820
2016-12-25,197364
2016-12-26,244914
2016-12-27,296546
2016-12-28,305394
2016-12-29,304605
2016-12-30,286818
2016-12-31,250273
2017-01-01,180502
2017-01-02,290951
2017-01-03,301664
2017-01-04,328642
2017-01-05,288501
2017-01-06,346405
2017-01-07,282060
2017-01-08,260101
2017-01-09,269947
2017-01-10,323888
2017-01-11,303058
2017-01-12,295125
2017-01-13,272747
2017-01-14,242269
2017-01-15,235999
2017-01-16,267640
2017-01-17,292697
2017-01-18,297100
2017-01-19,300605
2017-01-20,298377
2017-01-21,263562
2017-01-22,236886
2017-01-23,235530
2017-01-24,278177
2017-01-25,304727
2017-01-26,313755
2017-01-27,263332
2017-01-28,246395
2017-01-29,241627
2017-01-30,247408
2017-01-31,307683
2017-02-01,350560
2017-02-02,259559
2017-02-03,323563
2017-02-04,284778
2017-02-05,292101
2017-02-06,230027
2017-02-07,325268
2017-02-08,308316
2017-02-09,346544
2017-02-10,301789
2017-02-11,262686
2017-02-12,237744
2017-02-13,288290
2017-02-14,315084
2017-02-15,294786
2017-02-16,283203
2017-02-17,319767
2017-02-18,286143
2017-02-19,251721
2017-02-20,282728
2017-02-21,279090
2017-02-22,282194
2017-02-23,325913
2017-02-24,343805
2017-02-25,326521
2017-02-26,265203
2017-02-27,284555
2017-02-28,325414
2017-03-01,315883
2017-03-02,329428
2017-03-03,337310
2017-03-04,265780
2017-03-05,280739
2017-03-06,287731
2017-03-07,327902
2017-03-08,297108
2017-03-09,303632
2017-03-10,308482
2017-03-11,280681
2017-03-12,221110
2017-03-13,273079
2017-03-14,310395
2017-03-15,292434
2017-03-16,327034
2017-03-17,292196
2017-03-18,263530
2017-03-19,269336
2017-03-20,277033
2017-03-21,288055
2017-03-22,316593
2017-03-23,287871
2017-03-24,289521
2017-03-25,242975
2017-03-26,221915
2017-03-27,232291
2017-03-28,294001
2017-03-29,283931
2017-03-30,288788
2017-03-31,259403
2017-04-01,255871
2017-04-02,244203
2017-04-03,288141
2017-04-04,256015
2017-04-05,316555
2017-04-06,290465
2017-04-07,295463
2017-04-08,226959
2017-04-09,238286
2017-04-10,273384
2017-04-11,307893
2017-04-12,278093
2017-04-13,228679
2017-04-14,290208
2017-04-15,270705
2017-04-16,211829
2017-04-17,245184
2017-04-18,303091
2017-04-19,310104
2017-04-20,267915
2017-04-21,330354
2017-04-22,268712
2017-04-23,245039
2017-04-24,222671
2017-04-25,325387
2017-04-26,334471
2017-04-27,297884
2017-04-28,305271
2017-04-29,341319
2017-04-30,281489
2017-05-01,294786
2017-05-02,333161
2017-05-03,295149
2017-05-04,354737
2017-05-05,267193
2017-05-06,363022
2017-05-07,316011
2017-05-08,365096
2017-05-09,332879
2017-05-10,311391
2017-05-11,294743
2017-05-12,317698
2017-05-13,329266
2017-05-14,369098
2017-05-15,329229
2017-05-16,233977
2017-05-17,317527
2017-05-18,288904
2017-05-19,319502
2017-05-20,352805
2017-05-21,326057
2017-05-22,327868
2017-05-23,367710
2017-05-24,338642
2017-05-25,350114
2017-05-26,333340
2017-05-27,331914
2017-05-28,308143
2017-05-29,321638
2017-05-30,347961
2017-05-31,321634
2017-06-01,319709
2017-06-02,271539
2017-06-03,305320
2017-06-04,266044
2017-06-05,289930
2017-06-06,297416
2017-06-07,339720
2017-06-08,307377
2017-06-09,282184
2017-06-10,254993
2017-06-11,222892
2017-06-12,269098
2017-06-13,291776
2017-06-14,287644
2017-06-15,293141
2017-06-16,269937
2017-06-17,236554
2017-06-18,209359
2017-06-19,269774
2017-06-20,269438
2017-06-21,280203
2017-06-22,269685
2017-06-23,259938
2017-06-24,227127
2017-06-25,180719
2017-06-26,261906
2017-06-27,259737
2017-06-28,279811
2017-06-29,231054
2017-06-30,267360
2017-07-01,221856
2017-07-02,196539
2017-07-03,253244
2017-07-04,255483
2017-07-05,237008
2017-07-06,225106
2017-07-07,243614
2017-07-08,220835
2017-07-09,188124
2017-07-10,251722
2017-07-11,265759
2017-07-12,257138
2017-07-13,245895
2017-07-14,227903
2017-07-15,221851
2017-07-16,203165
2017-07-17,230315
2017-07-18,260575
2017-07-19,253768
2017-07-20,230199
2017-07-21,268443
2017-07-22,223358
2017-07-23,181031
2017-07-24,240072
2017-07-25,244036
2017-07-26,237853
2017-07-27,225369
2017-07-28,247207
2017-07-29,211134
2017-07-30,184145
2017-07-31,231012
2017-08-01,131875
2017-08-02,209321
2017-08-03,213017
2017-08-04,235792
2017-08-05,239771
2017-08-06,199627
2017-08-07,249002
2017-08-08,275574
2017-08-09,260955
2017-08-10,257965
2017-08-11,284001
2017-08-12,260521
2017-08-13,263310
2017-08-14,255362
2017-08-15,311002
2017-08-16,274866
2017-08-17,347319
2017-08-18,312250
2017-08-19,266832
2017-08-20,210852
2017-08-21,236772
2017-08-22,196283
2017-08-23,315734
2017-08-24,203805
2017-08-25,208169
2017-08-26,226485
2017-08-27,261891
2017-08-28,223771
2017-08-29,281116
2017-08-30,271466
2017-08-31,280724
2017-09-01,283670
2017-09-02,236811
2017-09-03,195289
2017-09-04,269280
2017-09-05,277948
2017-09-06,276225
2017-09-07,256374
2017-09-08,279488
2017-09-09,217890
2017-09-10,193240
2017-09-11,253492
2017-09-12,256230
2017-09-13,263320
2017-09-14,268068
2017-09-15,292079
2017-09-16,228257
2017-09-17,197683
2017-09-18,218204
2017-09-19,282917
2017-09-20,235723
2017-09-21,255257
2017-09-22,227615
2017-09-23,203861
2017-09-24,185277
2017-09-25,226603
2017-09-26,263648
2017-09-27,257961
2017-09-28,275976
2017-09-29,254438
2017-09-30,212678
2017-10-01,203653
2017-10-02,295002
2017-10-03,282132
2017-10-04,232826
2017-10-05,273243
2017-10-06,283699
2017-10-07,231226
2017-10-08,238385
2017-10-09,296946
2017-10-10,303101
2017-10-11,292459
2017-10-12,293164
2017-10-13,309819
2017-10-14,293140
2017-10-15,283473
2017-10-16,314725
2017-10-17,334438
2017-10-18,329579
2017-10-19,356985
2017-10-20,312409
2017-10-21,312257
2017-10-22,289131
2017-10-23,316096
2017-10-24,347220
2017-10-25,315415
2017-10-26,265827
2017-10-27,246692
2017-10-28,207066
2017-10-29,334025
2017-10-30,316077
2017-10-31,277535
2017-11-01,351529
2017-11-02,341474
2017-11-03,277598
2017-11-04,294121
2017-11-05,251728
2017-11-06,271029
2017-11-07,335636
2017-11-08,301346
2017-11-09,341281
2017-11-10,271745
2017-11-11,194634
2017-11-12,185966
2017-11-13,309299
2017-11-14,271995
2017-11-15,321788
2017-11-16,310396
2017-11-17,306617
2017-11-18,270874
2017-11-19,264855
2017-11-20,336204
2017-11-21,371091
2017-11-22,312033
2017-11-23,352207
2017-11-24,305735
2017-11-25,336689
2017-11-26,329677
2017-11-27,379256
2017-11-28,365977
2017-11-29,398090
2017-11-30,384386
2017-12-01,412908
2017-12-02,326354
2017-12-03,353044
2017-12-04,400686
2017-12-05,405709
2017-12-06,443587
2017-12-07,374917
2017-12-08,385092
2017-12-09,403399
2017-12-10,341420
2017-12-11,368598
2017-12-12,372977
2017-12-13,424579
2017-12-14,490644
2017-12-15,405676
2017-12-16,364222
2017-12-17,391910
2017-12-18,394239
2017-12-19,378622
2017-12-20,370277
2017-12-21,335482
2017-12-22,380648
2017-12-23,308211
2017-12-24,279523
2017-12-25,228926
2017-12-26,247440
2017-12-27,307642
2017-12-28,305053
2017-12-29,353824
2017-12-30,344407
2017-12-31,290422
2018-01-01,241757
2018-01-02,340980
2018-01-03,395963
2018-01-04,425008
2018-01-05,342707
2018-01-06,358847
2018-01-07,368187
2018-01-08,345672
2018-01-09,360265
2018-01-10,347393
2018-01-11,337959
2018-01-12,300091
2018-01-13,265735
2018-01-14,235045
2018-01-15,273623
2018-01-16,303725
2018-01-17,315771
2018-01-18,309495
2018-01-19,243619
2018-01-20,240611
2018-01-21,215622
2018-01-22,245562
2018-01-23,271936
2018-01-24,250423
2018-01-25,236580
2018-01-26,220459
2018-01-27,193578
2018-01-28,213446
2018-01-29,232176
2018-01-30,236609
2018-01-31,204276
2018-02-01,257664
2018-02-02,235918
2018-02-03,194891
2018-02-04,173687
2018-02-05,216363
2018-02-06,244120
2018-02-07,213719
2018-02-08,173289
2018-02-09,177860
2018-02-10,181783
2018-02-11,147208
2018-02-12,186918
2018-02-13,182984
2018-02-14,196417
2018-02-15,198183
2018-02-16,187738
2018-02-17,173789
2018-02-18,159495
2018-02-19,187367
2018-02-20,198455
2018-02-21,205201
2018-02-22,183235
2018-02-23,185193
2018-02-24,154534
2018-02-25,144869
2018-02-26,186474
2018-02-27,219624
2018-02-28,189223
2018-03-01,233744
2018-03-02,195073
2018-03-03,177024
2018-03-04,160231
2018-03-05,201438
2018-03-06,206016
2018-03-07,213978
2018-03-08,196422
2018-03-09,198180
2018-03-10,156228
2018-03-11,150884
2018-03-12,188394
2018-03-13,196140
2018-03-14,191042
2018-03-15,206186
2018-03-16,186979
2018-03-17,154496
2018-03-18,164401
2018-03-19,191528
2018-03-20,195168
2018-03-21,194846
2018-03-22,185187
2018-03-23,179818
2018-03-24,157087
2018-03-25,135274
2018-03-26,187850
2018-03-27,187065
2018-03-28,177521
2018-03-29,192411
2018-03-30,185940
2018-03-31,148617
2018-04-01,135129
2018-04-02,168178
2018-04-03,198919
2018-04-04,185710
2018-04-05,181832
2018-04-06,172889
2018-04-07,154639
2018-04-08,138535
2018-04-09,176563
2018-04-10,186415
2018-04-11,183248
2018-04-12,210879
2018-04-13,217282
2018-04-14,161843
2018-04-15,174031
2018-04-16,196106
2018-04-17,201820
2018-04-18,200740
2018-04-19,213523
2018-04-20,207777
2018-04-21,193975
2018-04-22,171870
2018-04-23,226353
2018-04-24,254493
2018-04-25,213155
2018-04-26,216732
2018-04-27,211119
2018-04-28,203681
2018-04-29,180798
2018-04-30,215107
2018-05-01,199959
2018-05-02,212296
2018-05-03,228521
2018-05-04,219069
2018-05-05,202703
2018-05-06,171761
2018-05-07,205063
2018-05-08,217810
2018-05-09,206579
2018-05-10,208961
2018-05-11,213624
2018-05-12,182054
2018-05-13,158794
2018-05-14,209697
2018-05-15,214779
2018-05-16,208463
2018-05-17,192683
2018-05-18,211496
2018-05-19,173274
2018-05-20,158663
2018-05-21,202647
2018-05-22,203337
2018-05-23,223196
2018-05-24,206825
2018-05-25,196181
2018-05-26,158783
2018-05-27,144304
2018-05-28,189063
2018-05-29,204769
2018-05-30,204077
2018-05-31,209526
2018-06-01,205481
2018-06-02,174497
2018-06-03,163443
2018-06-04,209916
2018-06-05,212901
2018-06-06,206417
2018-06-07,207627
2018-06-08,200379
2018-06-09,171306
2018-06-10,179809
2018-06-11,213196
2018-06-12,214595
2018-06-13,211829
2018-06-14,210029
2018-06-15,205861
2018-06-16,159090
2018-06-17,144908
2018-06-18,196305
2018-06-19,191805
2018-06-20,198889
2018-06-21,198113
2018-06-22,204144
2018-06-23,163295
2018-06-24,158022
2018-06-25,200173
2018-06-26,195404
2018-06-27,188510
2018-06-28,187624
2018-06-29,197881
2018-06-30,181065
2018-07-01,156247
2018-07-02,199294
2018-07-03,216747
2018-07-04,206788
2018-07-05,199600
2018-07-06,200993
2018-07-07,170160
2018-07-08,155685
2018-07-09,206546
2018-07-10,216063
2018-07-11,202603
2018-07-12,203535
2018-07-13,207904
2018-07-14,176475
2018-07-15,161151
2018-07-16,207842
2018-07-17,233966
2018-07-18,238769
2018-07-19,225039
2018-07-20,225529
2018-07-21,184803
2018-07-22,167129
2018-07-23,229480
2018-07-24,259358
2018-07-25,250208
2018-07-26,231679
2018-07-27,229397
2018-07-28,188238
2018-07-29,168407
2018-07-30,230924
2018-07-31,242977
2018-08-01,241044
2018-08-02,224873
2018-08-03,229859
2018-08-04,191657
2018-08-05,172181
2018-08-06,218607
2018-08-07,233045
2018-08-08,235311
2018-08-09,222326
2018-08-10,226148
2018-08-11,192438
2018-08-12,165044
2018-08-13,222229
2018-08-14,247622
2018-08-15,246066
2018-08-16,232335
2018-08-17,233794
2018-08-18,190935
2018-08-19,167400
2018-08-20,214983
2018-08-21,217777
2018-08-22,230333
2018-08-23,217352
2018-08-24,219848
2018-08-25,196420
2018-08-26,172747
2018-08-27,223656
2018-08-28,238039
2018-08-29,237508
2018-08-30,231391
2018-08-31,237076
2018-09-01,213331
2018-09-02,187145
2018-09-03,222897
2018-09-04,232265
2018-09-05,246477
2018-09-06,252261
2018-09-07,230790
2018-09-08,204428
2018-09-09,188912
2018-09-10,222866
2018-09-11,237571
2018-09-12,233275
2018-09-13,234209
2018-09-14,223250
2018-09-15,211071
2018-09-16,179483
2018-09-17,240152
2018-09-18,244259
2018-09-19,251037
2018-09-20,253674
2018-09-21,273051
2018-09-22,225537
2018-09-23,200319
2018-09-24,237670
2018-09-25,252113
2018-09-26,243927
2018-09-27,248686
2018-09-28,254239
2018-09-29,218339
2018-09-30,208210
2018-10-01,242820
2018-10-02,244772
2018-10-03,242303
2018-10-04,243157
2018-10-05,244719
2018-10-06,214843
2018-10-07,219731
2018-10-08,248041
2018-10-09,235862
2018-10-10,244945
2018-10-11,262467
2018-10-12,243174
2018-10-13,205097
2018-10-14,191259
2018-10-15,266945
2018-10-16,257967
2018-10-17,260362
2018-10-18,253450
2018-10-19,253826
2018-10-20,227821
2018-10-21,211505
2018-10-22,255324
2018-10-23,253463
2018-10-24,254091
2018-10-25,254599
2018-10-26,253002
2018-10-27,233749
